epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,493.418,3.39244,3.63359,4.15703,0.00304,0.38674,0.00601,0.0018,3.22142,3.8404,4.1762,0.000653333,0.000653333,0.000653333
2,901.737,3.19387,3.33705,3.72576,0.00349,0.37852,0.01612,0.00521,3.25906,4.0175,4.31945,0.0008844,0.0008844,0.0008844
3,1317.92,2.97767,3.23617,3.44252,0.0123,0.37031,0.01189,0.0039,2.98096,3.58202,3.86598,0.000675467,0.000675467,0.000675467
